applicant_id,age,education_level,gig_platforms,num_platforms,work_experience,monthly_income,seasonal_variation,income_volatility,savings_balance,debt_to_income_ratio,credit_score,existing_loans,loan_amount_requested,transaction_frequency,avg_monthly_expenses,credit_card_utilization,subscription_services,financial_emergencies_last_year,inflation_rate,reason_for_loan,platform_ratings,customer_feedback_score,work_consistency,penalties,alternative_income_source,loan_coapplicant,location,urban_rural,avg_platform_tenure,family_dependents,cost_of_living_index,loan_approved
1612,29,Postgraduate,"Upwork, Rapido",2,5.0,36953.0,1.2,4400,79762.0,0.2033650440048039,705.0,0,18417,95,31747.0,51,2,2,7.5,Home Renovation,Upwork:4.0; Rapido:4.2,82.2,5,0,No,No,Gujarat,Urban,51.5,2.0,1.0,1
4430,46,Postgraduate,Rapido,1,2.0,53801.0,1.3,15642,,0.12137398554155782,863.0,0,13858,31,52335.0,22,3,0,5.85,Other,Rapido:4.0,81.0,3,0,Yes,No,Bihar,Urban,34.0,0.0,0.85,1
1189,47,Graduate,"Upwork, Rapido",2,6.0,41783.0,1.25,7730,79587.0,0.2719799394066773,676.0,0,205172,17,23766.0,14,2,1,3.15,Medical Emergency,Upwork:3.9; Rapido:3.3,67.1,6,0,No,No,Maharashtra,Rural,17.0,1.0,1.15,0
2720,38,Graduate,"Amazon Flex, Upwork, UrbanClap",3,14.0,34568.0,0.8,7826,90150.0,0.11770927842280919,668.0,0,21004,34,66733.0,89,3,0,5.01,Education,Amazon Flex:5.0; Upwork:4.1; UrbanClap:4.0,84.4,5,1,No,Yes,Karnataka,Rural,16.0,3.0,1.1,1
2925,58,High School,"UrbanClap, Fiverr",2,11.0,57185.0,1.15,11522,,0.1943454746402401,873.0,0,28788,43,44674.0,87,2,0,7.34,Education,UrbanClap:4.7; Fiverr:3.3,81.8,4,2,No,Yes,Rajasthan,Rural,44.5,0.0,0.93,1
501,23,High School,UrbanClap,1,1.0,25638.0,0.9,2100,37503.0,0.1667143322883299,573.0,0,232985,62,33284.0,70,1,4,5.17,Home Renovation,UrbanClap:3.3,68.7,4,0,No,No,Bihar,Rural,32.0,0.0,0.85,0
4929,56,High School,Dunzo,1,10.0,26395.0,1.1,5656,75796.0,0.2527349466466926,546.0,1,166789,66,47064.0,39,4,2,6.94,Vehicle Purchase,Dunzo:4.1,81.3,4,0,Yes,No,Maharashtra,Rural,20.0,1.0,1.15,0
2989,51,Graduate,Uber,1,10.0,20428.0,0.8,5186,,0.28307608206987706,483.0,2,322821,75,15377.0,81,3,3,3.56,Business Expansion,Uber:3.1,58.3,5,0,No,No,Uttar Pradesh,Rural,49.0,2.0,0.95,0
494,31,Graduate,"Fiverr, Swiggy",2,14.0,73646.0,1.5,13334,118955.0,0.13124377215610028,900.0,0,27602,80,40478.0,41,4,3,3.81,Business Expansion,Fiverr:4.5; Swiggy:4.6,87.1,1,0,No,No,Tamil Nadu,Rural,40.0,1.0,1.05,0
4488,58,High School,Rapido,1,0.0,36430.0,1.4,6125,,0.17592217789182543,652.0,2,335720,78,63844.0,42,4,3,5.14,Vehicle Purchase,Rapido:4.2,87.2,1,0,No,No,Maharashtra,Rural,6.0,0.0,1.15,0
4425,33,Graduate,"Ola, Dunzo",2,0.0,,1.4,4288,94847.0,0.2943180382525056,664.0,0,14644,58,53938.0,18,1,1,5.41,Other,Ola:3.3; Dunzo:5.0,84.2,2,0,No,No,Maharashtra,Rural,15.5,1.0,1.15,0
4695,28,Graduate,Swiggy,1,4.0,35425.0,1.25,5209,,0.22683312636792213,,0,290686,91,59477.0,48,0,4,3.81,Debt Consolidation,Swiggy:4.0,77.3,1,0,Yes,No,Bihar,Urban,31.0,0.0,0.85,0
2424,58,Postgraduate,"UrbanClap, Upwork",2,8.0,44219.0,1.4,11341,108393.0,0.26577955207666015,714.0,1,23186,35,21057.0,38,4,3,3.56,Home Renovation,UrbanClap:4.3; Upwork:4.3,89.3,7,0,Yes,No,Telangana,Urban,12.0,3.0,1.07,1
2455,43,Graduate,UrbanClap,1,4.0,56365.0,1.45,5057,155332.0,0.24620410373216275,823.0,0,36660,76,,49,2,2,3.14,Vehicle Purchase,UrbanClap:3.7,78.6,1,1,No,No,Gujarat,Urban,11.0,,1.0,0
756,43,High School,"Ola, Rapido",2,,12771.0,1.5,1753,24302.0,0.19094001342823547,412.0,0,34646,92,12364.0,32,4,2,3.89,Vehicle Purchase,Ola:3.5; Rapido:4.1,77.9,2,2,No,No,Karnataka,Urban,55.0,2.0,1.1,0
810,35,High School,"Amazon Flex, Ola",2,,48435.0,0.9500000000000001,4515,,0.27756843081245286,755.0,0,10878,92,60691.0,27,0,2,7.49,Business Expansion,Amazon Flex:3.0; Ola:4.6,77.6,7,0,No,No,Karnataka,Urban,29.5,3.0,1.1,1
2639,49,High School,"Fiverr, Ola",2,0.0,34297.0,0.9,8891,82397.0,0.23417442309603304,650.0,0,35626,16,8277.0,52,2,1,3.38,Medical Emergency,Fiverr:3.3; Ola:3.0,64.1,3,0,Yes,No,Gujarat,Rural,54.5,0.0,1.0,0
4154,51,Graduate,Ola,1,11.0,32566.0,1.25,4016,82223.0,0.18306300174398668,618.0,0,23553,70,46136.0,30,2,0,7.45,Education,Ola:4.9,96.1,6,0,No,Yes,Bihar,Urban,60.0,0.0,0.85,0
2669,32,,Amazon Flex,1,4.0,36328.0,0.9500000000000001,4621,67165.0,0.15938028944504484,695.0,0,18395,24,42453.0,39,3,1,7.21,Education,Amazon Flex:3.7,77.3,7,0,No,No,West Bengal,Rural,28.0,1.0,0.9,0
830,38,Graduate,"Swiggy, Rapido, Uber",3,2.0,30135.0,1.05,2461,78645.0,0.26315512466078883,596.0,2,216166,45,37876.0,70,4,4,6.16,Education,Swiggy:3.2; Rapido:4.5; Uber:4.4,81.8,2,0,No,Yes,Karnataka,Urban,41.666666666666664,4.0,1.1,0
3185,34,High School,"UrbanClap, Rapido",2,6.0,12543.0,1.5,3440,28321.0,0.10918676141115698,364.0,0,35598,66,,78,1,1,5.74,Home Renovation,UrbanClap:4.0; Rapido:3.6,71.3,3,1,No,No,Karnataka,,42.0,1.0,1.1,0
86,26,,"Zomato, Fiverr",2,13.0,32478.0,1.15,1850,46868.0,0.22470593990887056,628.0,0,18575,46,11315.0,40,2,2,7.73,Education,Zomato:4.0; Fiverr:4.7,90.2,6,0,No,No,Tamil Nadu,Urban,53.5,1.0,1.05,0
3167,57,Postgraduate,Fiverr,1,11.0,44670.0,1.45,8815,,0.18047326860388035,736.0,0,36274,18,39208.0,40,1,0,4.13,Debt Consolidation,Fiverr:3.8,79.7,6,0,No,No,West Bengal,Rural,14.0,4.0,0.9,1
2520,27,High School,"Fiverr, Swiggy",2,10.0,35198.0,1.0,3862,,0.2744534767206309,613.0,0,41028,49,11271.0,42,4,0,6.36,Medical Emergency,Fiverr:3.6; Swiggy:4.1,78.3,5,1,No,No,Delhi,Rural,38.0,0.0,1.25,0
1673,56,Graduate,"Upwork, Ola",2,11.0,51052.0,1.5,5119,119775.0,0.24782265133419992,767.0,0,30804,60,69821.0,32,2,1,6.68,Vehicle Purchase,Upwork:4.6; Ola:4.1,87.8,5,3,No,Yes,Delhi,Rural,51.5,1.0,1.25,1
2183,35,High School,Upwork,1,9.0,41219.0,1.0,2176,51172.0,0.2552765649489664,671.0,0,20792,82,10893.0,48,1,3,6.83,Medical Emergency,Upwork:4.7,98.1,6,0,Yes,No,Maharashtra,Rural,35.0,0.0,1.15,0
2748,40,High School,"Dunzo, UrbanClap",2,3.0,,1.4,5598,166007.0,0.29838127156792194,825.0,0,13252,31,22451.0,69,3,4,7.04,Business Expansion,Dunzo:3.8; UrbanClap:3.8,79.1,7,0,No,No,Delhi,Rural,36.0,2.0,1.25,1
2415,47,Graduate,"Rapido, Swiggy",2,12.0,41637.0,1.3,3243,99453.0,0.29308438436177253,695.0,0,27441,13,6588.0,53,4,1,7.14,Debt Consolidation,Rapido:3.8; Swiggy:4.6,83.1,7,0,No,Yes,Uttar Pradesh,Rural,53.5,1.0,0.95,1
614,24,Graduate,"Amazon Flex, Uber",2,14.0,36988.0,0.9,8564,88739.0,0.14404320186885008,694.0,0,26384,60,,22,1,4,3.26,Other,Amazon Flex:3.4; Uber:3.2,68.9,4,0,No,No,Bihar,Urban,26.0,1.0,0.85,0
2330,51,Graduate,Swiggy,1,,78014.0,1.45,22359,216714.0,0.24738422636182164,900.0,1,49233,48,39621.0,32,3,0,6.37,Education,Swiggy:3.7,75.4,3,1,No,No,Maharashtra,Rural,57.0,1.0,1.15,1
919,57,High School,"Amazon Flex, Uber",2,4.0,24010.0,1.35,5915,36628.0,0.24463585221844866,516.0,0,23071,15,30694.0,42,4,2,4.3,Home Renovation,Amazon Flex:3.7; Uber:4.9,86.8,5,2,No,No,Delhi,Rural,40.0,2.0,1.25,0
412,33,Graduate,Fiverr,1,10.0,18572.0,1.0,3702,,0.2271462446334756,456.0,1,47098,16,,51,3,0,6.6,Medical Emergency,Fiverr:4.6,94.4,5,0,No,No,Delhi,Urban,14.0,3.0,1.25,0
225,45,High School,"Amazon Flex, Uber, Rapido",3,10.0,15315.0,1.1,2268,,0.12088915111728211,465.0,1,12984,49,10026.0,14,1,0,7.25,Medical Emergency,Amazon Flex:3.0; Uber:4.2; Rapido:4.2,78.4,4,0,No,No,Karnataka,Urban,29.333333333333332,2.0,1.1,0
2422,44,High School,"UrbanClap, Zomato",2,0.0,24378.0,1.25,2993,48361.0,0.28692568123373047,496.0,0,23197,34,25782.0,44,0,0,5.96,Debt Consolidation,UrbanClap:4.4; Zomato:3.9,85.5,3,0,No,Yes,Telangana,Rural,33.5,2.0,1.07,0
1734,55,High School,"Dunzo, Upwork",2,3.0,49265.0,1.2,4862,80091.0,0.1171661870022006,814.0,0,397450,19,,39,1,1,7.34,Vehicle Purchase,Dunzo:3.5; Upwork:3.4,71.5,2,1,No,No,Maharashtra,Rural,18.0,0.0,1.15,0
2481,54,High School,"Uber, Fiverr",2,11.0,39773.0,1.4,8430,73009.0,0.13113112825388124,695.0,0,79466,33,64655.0,58,1,3,7.2,Education,Uber:4.2; Fiverr:3.9,83.2,4,0,Yes,No,Delhi,Rural,23.0,1.0,1.25,0
746,46,Graduate,Zomato,1,9.0,32305.0,1.0,5389,66866.0,0.261307277714081,608.0,0,141798,63,58625.0,55,1,2,7.78,Business Expansion,Zomato:4.5,89.1,5,0,Yes,No,Gujarat,Rural,26.0,5.0,1.0,0
3005,34,,Swiggy,1,1.0,47436.0,1.45,3336,,0.27751938352164407,757.0,0,34747,43,5443.0,85,4,2,3.88,Debt Consolidation,Swiggy:4.5,91.1,4,0,No,Yes,Rajasthan,Rural,53.0,4.0,0.93,1
642,38,Graduate,UrbanClap,1,10.0,47036.0,1.3,6573,116230.0,0.2887183642135441,774.0,1,46404,90,,15,0,1,3.48,Medical Emergency,UrbanClap:4.9,100.2,4,0,Yes,No,West Bengal,Rural,20.0,1.0,0.9,1
4686,49,Graduate,Swiggy,1,2.0,20495.0,0.8,5942,37198.0,0.2429435129404309,486.0,0,27276,48,16297.0,53,4,4,7.33,Home Renovation,Swiggy:3.3,69.9,1,1,Yes,No,Delhi,Urban,41.0,1.0,1.25,0
4902,44,Postgraduate,UrbanClap,1,6.0,41824.0,0.8,3391,67621.0,0.39299706391918066,723.0,2,14426,60,60227.0,42,3,2,3.49,Medical Emergency,UrbanClap:3.5,72.3,6,0,No,No,Tamil Nadu,Rural,27.0,2.0,1.05,1
295,45,Graduate,Amazon Flex,1,0.0,24387.0,1.45,3025,67162.0,0.3023634799049511,495.0,1,86619,69,6585.0,43,1,3,7.7,Medical Emergency,Amazon Flex:3.4,64.8,4,0,No,No,Rajasthan,Rural,4.0,2.0,0.93,0
4193,23,Postgraduate,Fiverr,1,10.0,,1.5,9304,,0.3175114848703256,770.0,1,10740,41,25684.0,20,2,0,6.92,Business Expansion,Fiverr:4.8,94.3,2,1,No,No,Maharashtra,Urban,8.0,3.0,1.15,0
3653,30,Graduate,"Fiverr, Upwork, Rapido",3,5.0,44263.0,1.05,12682,60951.0,0.16290140119382307,689.0,0,35519,51,41252.0,62,1,4,5.16,Vehicle Purchase,Fiverr:4.0; Upwork:3.8; Rapido:4.8,88.8,6,0,No,No,Rajasthan,Rural,33.333333333333336,1.0,0.93,0
1814,51,Graduate,"Ola, UrbanClap, Upwork",3,8.0,30051.0,1.0,5055,39572.0,0.21833222188934454,,1,104830,42,37329.0,29,2,2,4.68,Other,Ola:4.0; UrbanClap:4.1; Upwork:4.9,90.6,4,1,No,No,Telangana,Rural,38.0,2.0,1.07,0
338,27,Postgraduate,Ola,1,6.0,24268.0,1.05,4372,63493.0,0.2982598157357307,490.0,0,287086,39,24573.0,66,2,0,6.35,Vehicle Purchase,Ola:4.6,96.2,1,0,No,No,Gujarat,Rural,19.0,2.0,1.0,0
1356,31,,Ola,1,12.0,,1.5,10172,114396.0,0.17700679317817256,748.0,1,40408,37,25811.0,43,3,2,7.55,Business Expansion,Ola:4.6,91.6,4,0,Yes,Yes,Uttar Pradesh,,24.0,1.0,0.95,1
254,54,Graduate,"Swiggy, Amazon Flex",2,4.0,57182.0,1.25,3458,94022.0,0.19573915496023522,900.0,2,40775,59,62599.0,62,4,1,4.23,Debt Consolidation,Swiggy:3.3; Amazon Flex:4.6,78.3,7,1,No,No,Gujarat,Rural,21.0,2.0,1.0,1
3485,53,High School,"UrbanClap, Swiggy, Amazon Flex",3,3.0,56304.0,1.5,5836,90084.0,0.2745612386577688,879.0,0,16356,32,58904.0,57,4,0,7.56,Business Expansion,UrbanClap:3.0; Swiggy:3.2; Amazon Flex:3.2,61.4,4,0,Yes,No,Tamil Nadu,Rural,34.666666666666664,2.0,1.05,0
631,49,High School,Swiggy,1,3.0,41122.0,1.2,9303,70278.0,0.15153542198346545,679.0,0,42876,94,11401.0,50,0,4,6.07,Home Renovation,Swiggy:4.1,81.8,4,1,No,No,Delhi,Urban,58.0,2.0,1.25,0
1970,48,Graduate,Zomato,1,3.0,37992.0,1.1,7456,85163.0,0.21299031312381378,656.0,0,17966,98,38459.0,44,1,2,4.44,Business Expansion,Zomato:4.3,86.4,6,0,No,No,Karnataka,Rural,7.0,2.0,1.1,0
3218,51,High School,Ola,1,0.0,31685.0,0.9,4886,79962.0,0.18399652161472566,646.0,0,38041,72,27232.0,22,0,4,7.36,Vehicle Purchase,Ola:4.3,87.1,6,1,No,No,Uttar Pradesh,Rural,44.0,1.0,0.95,0
4676,34,Graduate,"UrbanClap, Uber",2,9.0,,1.1,1407,,0.2374428145163887,533.0,2,23586,68,12005.0,60,0,0,7.58,Medical Emergency,UrbanClap:3.7; Uber:3.0,66.9,3,0,Yes,No,Delhi,Urban,31.5,2.0,1.25,0
311,34,High School,"Uber, Fiverr, Upwork",3,14.0,,1.4,17276,115666.0,0.1919248207378048,844.0,0,22244,59,7314.0,63,3,0,5.55,Other,Uber:4.4; Fiverr:4.6; Upwork:3.7,82.1,1,0,No,No,Maharashtra,Urban,36.666666666666664,2.0,1.15,0
418,34,High School,"Rapido, UrbanClap",2,4.0,10665.0,0.9500000000000001,1586,30052.0,0.1610867583713975,350.0,0,38786,31,68185.0,77,3,3,3.64,Vehicle Purchase,Rapido:3.2; UrbanClap:4.4,80.2,1,0,Yes,Yes,Tamil Nadu,Rural,41.5,0.0,1.05,0
1599,23,Graduate,Swiggy,1,6.0,53655.0,1.45,9853,150233.0,0.23289609877289136,876.0,0,46294,47,23759.0,75,3,2,7.68,Medical Emergency,Swiggy:3.2,66.2,4,1,Yes,No,Maharashtra,Urban,11.0,1.0,1.15,0
2459,31,High School,Zomato,1,5.0,29638.0,1.2,7949,,0.25799052766941094,613.0,0,270822,64,40657.0,25,3,2,5.9,Debt Consolidation,Zomato:4.4,84.6,6,0,No,No,Uttar Pradesh,Rural,37.0,3.0,0.95,0
4812,43,High School,"Rapido, Ola",2,13.0,,1.1,10518,,0.22879306662452129,753.0,1,13574,69,,84,3,2,6.31,Debt Consolidation,Rapido:4.3; Ola:3.9,79.3,4,0,No,No,Karnataka,Rural,36.5,1.0,1.1,1
4596,53,Graduate,"Fiverr, Dunzo, Uber",3,,,1.1,5048,64413.0,0.19210487757101252,736.0,0,22487,85,35098.0,17,4,4,7.35,Home Renovation,Fiverr:4.7; Dunzo:3.8; Uber:4.3,81.3,7,0,No,Yes,Karnataka,,20.666666666666668,3.0,1.1,1
4630,31,Postgraduate,"Ola, Zomato",2,,38551.0,1.45,7748,47442.0,0.2374613804201182,715.0,0,378465,22,11178.0,51,2,1,3.37,Home Renovation,Ola:3.7; Zomato:3.8,74.5,3,0,Yes,Yes,Maharashtra,,11.0,0.0,1.15,0
1763,59,Graduate,Swiggy,1,8.0,22519.0,0.8500000000000001,3893,54765.0,0.14453392325297018,506.0,0,427228,20,60618.0,23,3,0,6.06,Debt Consolidation,Swiggy:4.3,87.5,4,0,No,No,Karnataka,Rural,8.0,3.0,1.1,0
31,42,Postgraduate,Swiggy,1,5.0,17047.0,1.2,2787,46259.0,0.19962340407456014,440.0,0,31367,29,25238.0,84,1,1,7.09,Vehicle Purchase,Swiggy:3.9,78.8,2,0,Yes,No,Rajasthan,Rural,38.0,0.0,0.93,0
4086,44,High School,UrbanClap,1,8.0,14285.0,0.9,3426,35247.0,0.12195710267026312,405.0,1,43742,64,27159.0,16,1,4,5.56,Debt Consolidation,UrbanClap:4.2,88.6,3,0,Yes,Yes,Tamil Nadu,Rural,46.0,1.0,1.05,0
73,46,Postgraduate,Amazon Flex,1,0.0,16023.0,0.8,4355,36383.0,0.2913157619789485,456.0,0,307212,25,35158.0,10,4,4,5.65,Business Expansion,Amazon Flex:3.0,61.0,1,1,No,No,Delhi,Rural,15.0,0.0,1.25,0
1426,34,Graduate,Ola,1,3.0,27607.0,1.1,3595,50477.0,0.11899545331996886,547.0,0,14503,85,,36,2,1,3.32,Other,Ola:3.7,74.0,6,0,No,No,Tamil Nadu,Urban,9.0,1.0,1.05,0
3826,35,Graduate,"Ola, Swiggy",2,11.0,,1.2,4266,77128.0,0.23679415722957678,645.0,0,13021,15,15051.0,86,4,4,5.48,Medical Emergency,Ola:3.6; Swiggy:3.3,71.1,3,0,Yes,No,Tamil Nadu,Urban,50.5,0.0,1.05,0
1791,42,High School,Fiverr,1,11.0,28422.0,1.15,5401,49459.0,0.25189989937551505,543.0,0,441230,16,63185.0,19,2,1,6.88,Business Expansion,Fiverr:4.4,87.0,2,0,No,No,Gujarat,Urban,44.0,0.0,1.0,0
2928,48,High School,Ola,1,5.0,,1.4,8211,72000.0,0.2475086395897079,645.0,0,18408,64,46245.0,60,4,3,5.54,Business Expansion,Ola:4.9,94.1,6,0,No,No,Gujarat,Rural,43.0,0.0,1.0,0
4408,41,,Rapido,1,,45138.0,1.5,11938,92949.0,0.17396433677959366,747.0,1,42780,92,66479.0,11,4,4,7.3,Education,Rapido:4.7,90.7,3,0,No,No,Uttar Pradesh,Rural,55.0,1.0,0.95,1
4417,36,High School,Zomato,1,12.0,,0.8500000000000001,11718,94216.0,0.36889425237339474,698.0,2,118872,83,20002.0,45,2,1,5.16,Home Renovation,Zomato:3.6,69.9,4,1,Yes,No,Gujarat,Rural,5.0,0.0,1.0,0
3796,56,High School,Ola,1,7.0,58656.0,1.5,13989,,0.29134637810761843,900.0,0,29994,78,60569.0,26,3,1,5.6,Vehicle Purchase,Ola:3.7,72.4,7,0,Yes,No,Uttar Pradesh,Rural,18.0,1.0,0.95,1
2351,34,,"Amazon Flex, Ola",2,0.0,29891.0,1.3,8259,72606.0,0.11049898025299623,,0,50279,20,29947.0,47,3,2,6.73,Debt Consolidation,Amazon Flex:4.9; Ola:3.7,82.3,5,1,Yes,No,Telangana,Rural,51.0,3.0,1.07,0
734,44,High School,Dunzo,1,4.0,22505.0,1.3,4410,49999.0,0.47169821211844865,511.0,3,236010,16,40514.0,39,2,3,5.09,Debt Consolidation,Dunzo:3.0,56.2,1,0,No,No,Delhi,Urban,9.0,1.0,1.25,0
3676,25,Graduate,Ola,1,14.0,43387.0,1.25,4999,93815.0,0.15586321908584974,680.0,0,36902,95,11414.0,83,0,1,4.06,Vehicle Purchase,Ola:4.6,94.9,4,3,No,No,West Bengal,Rural,41.0,0.0,0.9,0
918,57,Graduate,"UrbanClap, Amazon Flex, Rapido",3,12.0,42636.0,0.9,8070,85441.0,0.18322598512485921,668.0,1,20304,91,23357.0,16,1,0,3.61,Other,UrbanClap:4.6; Amazon Flex:4.7; Rapido:4.5,87.8,1,0,No,Yes,Uttar Pradesh,Rural,26.666666666666668,1.0,0.95,0
1679,33,Graduate,Uber,1,4.0,37348.0,1.05,2412,100426.0,0.22082564412009564,707.0,0,32507,50,18952.0,66,4,0,6.63,Medical Emergency,Uber:3.3,63.2,5,0,No,No,Karnataka,Rural,15.0,3.0,1.1,0
2100,42,High School,Rapido,1,14.0,55606.0,1.45,6591,97149.0,0.13862075229394769,765.0,0,31427,70,39143.0,32,0,2,7.24,Education,Rapido:3.4,66.2,5,0,No,No,Delhi,Urban,40.0,0.0,1.25,0
3980,34,Postgraduate,Dunzo,1,10.0,42169.0,1.3,3395,116680.0,0.16895278196258134,705.0,0,36026,49,32108.0,77,2,2,5.12,Home Renovation,Dunzo:4.2,87.6,5,1,No,Yes,Telangana,Rural,28.0,1.0,1.07,1
4173,32,Graduate,Dunzo,1,5.0,26593.0,0.9,3384,75717.0,0.20879981234960887,550.0,0,50411,37,10001.0,28,3,2,6.64,Vehicle Purchase,Dunzo:3.0,60.1,1,0,No,No,Delhi,Rural,22.0,2.0,1.25,0
2291,31,Postgraduate,Dunzo,1,11.0,32920.0,0.9500000000000001,2489,49622.0,0.261210669146298,570.0,0,37332,55,46199.0,80,2,2,3.75,Business Expansion,Dunzo:3.5,73.0,5,0,No,No,Maharashtra,Urban,34.0,1.0,1.15,0
1677,54,Graduate,Upwork,1,9.0,25502.0,1.25,5391,40528.0,0.2350236151242903,564.0,0,26589,91,39868.0,63,1,3,6.1,Vehicle Purchase,Upwork:4.2,81.8,3,0,No,No,Uttar Pradesh,Rural,39.0,3.0,0.95,0
760,58,High School,UrbanClap,1,10.0,28864.0,1.15,5999,71311.0,0.21017731224454658,,0,93051,44,30203.0,70,4,2,6.24,Medical Emergency,UrbanClap:4.5,88.0,6,2,No,No,Uttar Pradesh,,8.0,0.0,0.95,0
2223,44,,Ola,1,13.0,35397.0,1.15,5573,85268.0,0.25172992047075193,626.0,0,10420,17,,22,1,4,3.46,Debt Consolidation,Ola:5.0,96.0,3,1,No,No,Delhi,Rural,7.0,1.0,1.25,0
3252,36,,Fiverr,1,14.0,32288.0,1.25,1982,,0.10739225680990035,592.0,0,114308,87,,81,1,3,6.9,Debt Consolidation,Fiverr:3.3,69.2,1,2,No,No,Karnataka,Urban,28.0,0.0,1.1,0
